index,French,English
0,de,of
1,la,the
2,et,and
3,le,the
4,les,the
5,?,?
6,des,from
7,en,in
8,un,a
9,est,is
10,que,that
11,une,a
12,pour,for
13,il,he
14,qui,who
15,dans,in
16,a,has
17,pas,not
18,sur,on
19,je,I
20,ce,this
21,par,by
22,plus,more
23,ne,not
24,avec,with
25,se,be
26,vous,you
27,mais,but
28,ou,Where
29,on,we
30,son,his 
31,elle,she
32,nous,we
33,sont,are
34,tout,everything
35,comme,as
36,cette,this
37,si,if
38,bien,good
39,sa,her
40,y,Y
41,?tre,to be
42,fait,fact
43,ont,have
44,m?me,Mrs
45,faire,To do
46,ses,his
47,�tait,Weary
48,ai,have
49,ils,they
50,lui,him
51,ces,those
52,leur,their
53,aussi,also
54,me,me
55,�t�,�T�
56,tr?s,triented
57,sans,without
58,peut,may
59,deux,of them
60,votre,your
61,tous,all
62,avait,had
63,tu,you
64,autres,others
65,peu,little
66,�a,�a
67,donc,so
68,alors,so
69,mon,my
70,temps,weather
71,encore,Again
72,entre,Between
73,avoir,to have
74,o?,o?
75,autre,other
76,apr?s,after
77,quand,when
78,ainsi,thus
79,cela,that
80,non,Nope
81,notre,our
82,suis,am
83,fois,time
84,avant,before
85,moi,me
86,toujours,still
87,leurs,their
88,monde,world
89,car,because
90,moins,less
91,depuis,from
92,ans,years
93,dont,whose
94,bon,Well
95,vie,life
96,quelques,some 
97,ma,my
98,soit,is
99,sous,under
100,beaucoup,a lot
101,toute,all
102,contre,versus
103,va,go
104,voir,to see
105,dit,said
106,faut,should
107,rien,nothing
108,l?,I?
109,toutes,all
110,dire,say
111,cas,case
112,nos,our
113,puis,then
114,sera,will be
115,site,site
116,trop,too much
117,vers,toward
118,grand,big
119,France,France
120,jour,day
121,d�j?,D�J?
122,pays,country
123,chaque,each
124,place,square
125,�galement,Also
126,vos,your
127,jamais,never
128,mes,my
129,chez,at the house of
130,cet,this
131,petit,small
132,doit,must
133,travail,work 
134,vraiment,really
135,plusieurs,many
136,premier,first
137,elles,they
138,homme,male
139,chose,thing
140,partie,part
141,ceux,those
142,personnes,people
143,part,go
144,moment,moment
145,trois,three
146,ici,here
147,comment,How? 'Or' What
148,personne,nobody
149,bonne,good
150,grande,big
151,mois,month
152,fin,end
153,premi?re,first
154,point,point
155,nouveau,new
156,ann�e,year
157,pendant,during
158,peuvent,can
159,prendre,to take
160,souvent,often
161,mal,evil
162,enfin,finally
163,jours,days
164,effet,effect
165,certains,some
166,mieux,better
167,afin,to
168,te,you
169,ann�es,years
170,selon,according to
171,eu,eu
172,histoire,story
173,surtout,above all
174,nouvelle,news
175,compte,account
176,ligne,line
177,lors,during
178,mettre,put
179,jeu,Game
180,cours,Classes
181,avons,have
182,suite,after
183,question,question
184,juste,correct
185,prix,price
186,reste,rest
187,pouvoir,able
188,enfants,children
189,pourquoi,why
190,exemple,example
191,�taient,Were
192,tant,so much
193,celui,that's why I wrote to you
194,jeune,young
195,lieu,place
196,oui,yes
197,nombre,number
198,maintenant,now
199,niveau,level
200,gens,people
201,groupe,band
202,maison,home
203,eau,water
204,savoir,to know
205,seul,only
206,quoi,what
207,dernier,latest
208,droit,straight
209,avez,have
210,vu,seen
211,petite,small
212,nom,name
213,quelque,some
214,assez,enough
215,serait,would
216,ni,neither
217,devant,before
218,seulement,only
219,eux,them
220,ensemble,whole
221,ville,city
222,fran�ais,frank
223,politique,Politics
224,besoin,need
225,internet,Internet
226,ton,your
227,trouve,find
228,dieu,god
229,recherche,research
230,fa�on,fair
231,permet,allow
232,projet,project
233,aller,to go
234,coup,kick
235,sens,sense
236,t?te,t?
237,possible,possible
238,syst?me,system
239,mise,betting
240,femme,women
241,aurait,would have
242,celle,that
243,lorsque,when
244,fut,was
245,choses,things
246,raison,reason
247,face,face
248,demande,request
249,partir,go
250,peut-?tre,perhaps
251,pense,think
252,merci,thank you
253,service,service
254,corps,body
255,rapport,report
256,trouver,to find
257,soci�t�,company
258,pourrait,could
259,�tat,�tat
260,c�t�,ced
261,pouvez,can
262,sujet,topic
263,jeux,games
264,web,web
266,yeux,eyes
267,sais,know
269,main,hand
270,famille,family
271,Paris,Paris
272,toi,you
273,aucun,no
274,mis,put
275,pr?s,precise
276,forme,shape
277,hommes,men
278,font,make
279,plut�t,rather
280,passer,pass
281,d?s,d?
282,d�veloppement,development
283,article,article
284,donner,to give
285,etc,etc
286,vrai,true
287,produits,products
288,loin,far
289,notamment,particularly
290,services,services
291,choix,choice
292,seule,only
293,jeunes,youth
294,gr�ce,greece
295,simple,simple
296,�quipe,�QUIPE
297,pu,could
298,air,air
299,d�but,disregard
300,as,have
301,aide,aid
302,entreprise,business
303,qualit�,quality
304,vue,seen
305,mani?re,manner
306,probl?me,problem
307,pris,taken
308,pr�sident,propriety
309,sommes,are
310,veut,wanna
311,seront,will be
312,ayant,having
313,mort,dead
314,conseil,advice
315,terre,earth
316,heures,time
317,long,long
318,�tant,In
319,avaient,had
320,passe,pass
321,aime,love
322,centre,center
323,tour,round
324,simplement,simply
325,femmes,women
326,g�n�ral,genetic
327,formation,training
328,situation,situation
329,porte,door
330,nombreux,many
331,film,film
332,semble,seems
333,base,base
334,argent,money
335,nouvelles,news
336,id�e,ideal
337,march�,march
338,quel,what
339,cause,cause
340,belle,beautiful
341,type,kind
342,esprit,mind
343,public,audience
344,pass�,past
345,parfois,sometimes
346,pourtant,yet
347,donne,given
348,aucune,none
349,parler,speak
350,loi,law
351,autant,so much
352,propre,own
353,haut,high
354,derni?re,last
355,autour,around
356,sant�,health
357,membres,members
358,agit,act
359,gouvernement,government
360,plan,plan
361,programme,program
362,livre,book
363,fille,daughter
364,gros,wholesale
365,cependant,however
366,genre,gender
367,doute,doubt
368,d'ailleurs,moreover
369,fort,strong
370,vais,am going to
371,semaine,week
372,vient,come
373,aura,will have
374,mesure,measure
375,p?re,pre
376,jouer,player
377,guerre,war
378,peux,can
379,chacun,each
380,lire,read
381,s�curit�,scheme
382,journ�e,day
383,titre,title
384,cadre,frame
385,enfant,child
386,certaines,some
387,entreprises,essence
388,presque,almost
389,soir,evening
390,vite,quick
391,?tes,?your
392,page,page
393,amour,love
394,important,important
395,action,stock
397,quatre,four
398,offre,offer
399,heure,hour
400,mariage,marriage
401,force,strength
402,doivent,have to
403,produit,product
404,retour,return
405,r�gion,regeneration
406,grands,great
407,diff�rents,different
408,points,points
409,blog,blog
410,message,message
411,questions,issues
412,utiliser,utilize
413,obtenir,obtain
414,informations,information
415,musique,music
416,plaisir,pleasure
417,vont,are going
418,petits,small
419,or,gold
420,devrait,should
421,nature,nature
422,ta,your
423,malgr�,despite
424,aider,to help
425,s?r,s? r
426,an,year
427,laquelle,which
428,image,picture
429,parmi,among
430,quelle,what
431,d'abord,first of all
432,information,information
433,conditions,terms
434,tard,late
435,donn�es,data
436,millions,millions
437,fonction,function
438,voil?,Voil?
439,gestion,management
440,occasion,opportunity
442,rendre,return
443,but,goal
444,comprendre,to understand
445,sait,know
446,donn�,given
447,ordre,order
448,moyen,medium
449,terme,term
450,attention,Warning
451,Europe,Europe
452,nouveaux,new
453,plein,full
454,arrive,arrived
455,difficile,difficult
456,salle,room
457,risque,risk
458,exp�rience,experience
459,�crit,Written
460,fond,bottom
461,veux,want
462,parti,left
463,plupart,mostly
464,existe,exist
465,longtemps,long time
466,pouvait,could
467,sites,Site (s
468,int�rieur,interetent
469,m?re,m?
470,mai,may
471,art,art
472,fais,do 
473,prend,take
474,voix,voice
475,�tais,Berth
476,sein,breast
477,beau,handsome
478,�cole,Ecole
480,particulier,particular
481,amis,friends
482,bas,low
483,sinon,otherwise
484,euros,euros
486,fils,son
487,avis,notice
488,r�le,rule
489,activit�s,Activities
490,sorte,sort
491,valeur,value
492,environ,approximately
493,p�riode,period
494,regard,glance
495,diff�rentes,different
496,utilisation,use
497,r�ponse,response
498,prise,plug
499,presents,present
500,,
